CSTAD1,Product1,100.00,10,2024-02-26
CSTAD2,Product2,100.00,10,2024-02-26
CSTAD3,Product3,100.00,10,2024-02-26
CSTAD4,Product4,100.00,10,2024-02-26
CSTAD5,Product5,100.00,10,2024-02-26
CSTAD6,Product6,100.00,10,2024-02-26
CSTAD7,Product7,100.00,10,2024-02-26
CSTAD8,Product8,100.00,10,2024-02-26
CSTAD9,Product9,100.00,10,2024-02-26
CSTAD10,Product10,100.00,10,2024-02-26
CSTAD11,Product11,100.00,10,2024-02-26
CSTAD12,Product12,100.00,10,2024-02-26
CSTAD13,Product13,100.00,10,2024-02-26
CSTAD14,Product14,100.00,10,2024-02-26
CSTAD15,Product15,100.00,10,2024-02-26
CSTAD16,Product16,100.00,10,2024-02-26
CSTAD17,Product17,100.00,10,2024-02-26
CSTAD18,Product18,100.00,10,2024-02-26
CSTAD19,Product19,100.00,10,2024-02-26
CSTAD20,Product20,100.00,10,2024-02-26
